media,downloaded file name,public url,doi,file type,file size,title,notes,specimen,specimen taxonomy,insitution,description/element,side,locality,relative age,absolute age,description/element updated,facility,scanner type,x res,y res,z res,voltage,amperage,watts,projections,frame averaging,wedge,shading correction,flux normalization,geometric callibration,calibration description,technicians,date uploaded,time uploaded,grant support,copyright holder,copyright license,citation instruction statement (to be copy-pasted into acknolwedgements)
M17549-33081,cumv-fish-78499_M17549-33081.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17549,,,42.06 MB,Belonion dibranchodon (triangle) - images/ tomogram stack/ log data,,cumv-fish-78499,Belonion dibranchodon, Cornell University Museum of Vertebrates,,,"rio atabapo, isla viahita, 8 km s san fernando de atabapo",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0160 mm,0.016 mm,0.016 mm,65 kv,127 ¥Ë_a, W,,,No,No,No,0,,,9/8/17,0:21:57,, Cornell University Museum of Vertebrates,CC-BY-NC,
M17549-33082,cumv-fish-78499_M17549-33082.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17549,,,23.87 MB,Belonion dibranchodon (t) - images/ tomogram stack/ log data,,cumv-fish-78499,Belonion dibranchodon, Cornell University Museum of Vertebrates,,,"rio atabapo, isla viahita, 8 km s san fernando de atabapo",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0160 mm,0.016 mm,0.016 mm,65 kv,127 ¥Ë_a, W,,,No,No,No,0,,,9/8/17,0:21:57,, Cornell University Museum of Vertebrates,CC-BY-NC,
M15092-27356,cumv-fish-54050_M15092-27356.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15092,,image/png,496.2 KB,Rhamphocottus richardsonii- standard headshot,,cumv-fish-54050,Rhamphocottus richardsonii, Cornell University Museum of Vertebrates,,,no data,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.01832 mm,0.01832 mm,0.01832 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,17:14:29, NSF Doctoral Dissertation Improvement Grant (DEB-1310812),Stacy Farina,,
M15092-27357,cumv-fish-54050_M15092-27357.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15092,,,1.24 GB,Rhamphocottus richardsonii- tomogram stack,,cumv-fish-54050,Rhamphocottus richardsonii, Cornell University Museum of Vertebrates,,,no data,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.01832 mm,0.01832 mm,0.01832 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,17:14:29, NSF Doctoral Dissertation Improvement Grant (DEB-1310812),Stacy Farina,,
M15042-27202,cumv-fish-78131_M15042-27202.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15042,,image/png,312.5 KB,Cottus cognatus - standard headshot,,cumv-fish-78131,Cottus cognatus, Cornell University Museum of Vertebrates,,,cayuta creek at alpine,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.014 mm,0.014 mm,0.014 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:22:51,, Cornell University Museum of Vertebrates,,
M15042-27203,cumv-fish-78131_M15042-27203.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15042,,,1.28 GB,Cottus cognatus - tomogram stack,,cumv-fish-78131,Cottus cognatus, Cornell University Museum of Vertebrates,,,cayuta creek at alpine,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.014 mm,0.014 mm,0.014 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:22:51,, Cornell University Museum of Vertebrates,,
M15041-27200,cumv-fish-98024_M15041-27200.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15041,,image/png,482.85 KB,Blepsias cirrhosus - standard headshot,,cumv-fish-98024,Blepsias cirrhosus, Cornell University Museum of Vertebrates,,,"san juan island, jackson beach",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.04992 mm,0.04992 mm,0.04992 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:14:02,, Cornell University Museum of Vertebrates,,
M15041-27201,cumv-fish-98024_M15041-27201.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15041,,,1.5 GB,Blepsias cirrhosus - tomogram stack,,cumv-fish-98024,Blepsias cirrhosus, Cornell University Museum of Vertebrates,,,"san juan island, jackson beach",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.04992 mm,0.04992 mm,0.04992 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:14:02,, Cornell University Museum of Vertebrates,,
M15028-27160,cumv-fish-98033_M15028-27160.jpg,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15028,,image/jpeg,260.93 KB,Artedius harringtoni - standard headshot,,cumv-fish-98033,Artedius harringtoni, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.02563 mm,0.02563 mm,0.02563 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,15:05:45,, Cornell University Museum of Vertebrates,,
M15028-27173,cumv-fish-98033_M15028-27173.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15028,,,1.23 GB,Artedius harringtoni - tomogram stack,,cumv-fish-98033,Artedius harringtoni, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.02563 mm,0.02563 mm,0.02563 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,15:05:45,, Cornell University Museum of Vertebrates,,
