specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
12,AMNH,AMNH,M,Mammals,207949,M-207949,Arctocebus,Arctocebus,calabarensis,calabarensis
33,UCMP,UCMP,,V,218405,218405,Omomyidae,,incertae sedis,
34,AMNH,AMNH,M,Mammals,212954,M-212954,Arctocebus,Arctocebus,calabarensis,calabarensis
35,USNM,USNM,,Paleobiology,83650,PAL83650,Avahi,Raphistoma,laniger,aequilaterum
37,MCZ,MCZ,,Mamm,38316,38316,Arctocebus,Arctocebus,calabarensis,aureus
38,USNM,USNM,,Paleobiology,83652,PAL83652,Avahi,Lophospira,laniger,aojii
39,AMNH,AMNH,M,Mammals,170501,M-170501,Avahi,Avahi,laniger,laniger
40,AMNH,AMNH,M,Mammals,41267,M-41267,Avahi,Avahi,laniger,laniger
41,AMNH,AMNH,M,Mammals,170461,M-170461,Avahi,Avahi,laniger,laniger
43,AMNH,AMNH,M,Mammals,100635,M-100635,Avahi,Avahi,laniger,laniger
44,AMNH,AMNH,M,Mammals,100640,M-100640,Cheirogaleus,Cheirogaleus,major,major
46,AMNH,AMNH,M,Mammals,100830,M-100830,Cheirogaleus,Cheirogaleus,major,major
47,AMNH,AMNH,M,Mammals,80072,M-80072,Cheirogaleus,Cheirogaleus,medius,medius
49,AMNH,AMNH,M,Mammals,100654,M-100654,Cheirogaleus,Cheirogaleus,medius,medius
51,AMNH,AMNH,M,Mammals,196618,M-196618,Cheirogaleus,Cheirogaleus,medius,medius
53,AMNH,AMNH,M,Mammals,103734,M-103734,Galeopterus,Cynocephalus,variegatus,variegatus
54,AMNH,AMNH,M,Mammals,103735,M-103735,Galeopterus,Cynocephalus,variegatus,variegatus
55,AMNH,AMNH,M,Mammals,102703,M-102703,Galeopterus,Cynocephalus,variegatus,variegatus
56,AMNH,AMNH,M,Mammals,107136,M-107136,Galeopterus,Cynocephalus,variegatus,variegatus
57,AMNH,AMNH,M,Mammals,106286,M-106286,Galeopterus,Cynocephalus,variegatus,variegatus
58,AMNH,AMNH,M,Mammals,120449,M-120449,Cynocephalus,Cynocephalus,volans,volans
59,AMNH,AMNH,M,Mammals,203258,M-203258,Cynocephalus,Cynocephalus,volans,volans
60,AMNH,AMNH,M,Mammals,24958,M-24958,Cynocephalus,Cynocephalus,volans,volans
61,AMNH,AMNH,M,Mammals,100632,M-100632,Daubentonia,Daubentonia,madagascariensis,madagascariensis
