specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
12,AMNH,amnh,M,mammals,207949,m-207949,Arctocebus,arctocebus,calabarensis,calabarensis
33,UCMP,ucmp,,v,218405,218405,Omomyidae,,incertae sedis,
34,AMNH,amnh,M,mammals,212954,m-212954,Arctocebus,arctocebus,calabarensis,calabarensis
35,USNM,usnm,,paleobiology,83650,pal83650,Avahi,pararaphistoma,laniger,qualteriata
37,MCZ,mcz,,mamm,38316,38316,Arctocebus,arctocebus,calabarensis,aureus
38,USNM,usnm,,paleobiology,83652,pal83652,Avahi,lophospira,laniger,aojii
39,AMNH,amnh,M,mammals,170501,m-170501,Avahi,avahi,laniger,laniger
40,AMNH,amnh,M,mammals,41267,m-41267,Avahi,avahi,laniger,laniger
41,AMNH,amnh,M,mammals,170461,m-170461,Avahi,avahi,laniger,laniger
43,AMNH,amnh,M,mammals,100635,m-100635,Avahi,avahi,laniger,laniger
44,AMNH,amnh,M,mammals,100640,m-100640,Cheirogaleus,cheirogaleus,major,major
46,AMNH,amnh,M,mammals,100830,m-100830,Cheirogaleus,cheirogaleus,major,major
47,AMNH,amnh,M,mammals,80072,m-80072,Cheirogaleus,cheirogaleus,medius,medius
49,AMNH,amnh,M,mammals,100654,m-100654,Cheirogaleus,cheirogaleus,medius,medius
51,AMNH,amnh,M,mammals,196618,m-196618,Cheirogaleus,cheirogaleus,medius,medius
53,AMNH,amnh,M,mammals,103734,m-103734,Galeopterus,galeopterus,variegatus,variegatus
54,AMNH,amnh,M,mammals,103735,m-103735,Galeopterus,galeopterus,variegatus,variegatus
55,AMNH,amnh,M,mammals,102703,m-102703,Galeopterus,galeopterus,variegatus,variegatus
56,AMNH,amnh,M,mammals,107136,m-107136,Galeopterus,galeopterus,variegatus,variegatus
57,AMNH,amnh,M,mammals,106286,m-106286,Galeopterus,galeopterus,variegatus,variegatus
58,AMNH,amnh,M,mammals,120449,m-120449,Cynocephalus,cynocephalus,volans,volans
59,AMNH,amnh,M,mammals,203258,m-203258,Cynocephalus,cynocephalus,volans,volans
60,AMNH,amnh,M,mammals,24958,m-24958,Cynocephalus,cynocephalus,volans,volans
61,AMNH,amnh,M,mammals,100632,m-100632,Daubentonia,daubentonia,madagascariensis,madagascariensis
63,AMNH,amnh,M,mammals,41334,m-41334,Daubentonia,daubentonia,madagascariensis,madagascariensis
65,AMNH,amnh,M,mammals,185643,m-185643,Daubentonia,daubentonia,madagascariensis,madagascariensis
