specimen_id,MS_institution_code,MS_collection_code,MS_catalog_number,MS_genus,MS_species,Old_iDB_institution_code,Old_iDB_collection_code,Old_iDB_catalog_number,Old_iDB_genus,Old_iDB_species,New_iDB_institution_code,New_iDB_collection_code,New_iDB_catalog_number,New_iDB_genus,New_iDB_species,Correct,Old_iDB_uuid,New_iDB_uuid,
3383,uf,h,11978,sphenodon,punctatus,uf,mammals,11978,geomys,pinetis,uf,herp,11978,sphenodon,punctatus,1,d4a57b8e-4f5b-460a-baf6-17e26a184558,3b164cf0-4fbb-4564-a189-9f7c3248060c,
1748,uf,,22614,nannippus,peninsulatus,uf,mammals,22614,leopardus,pardalis,uf,uf,22614,nannippus,peninsulatus,1,ffbaffbf-3fd2-415a-8745-9e74d8fc4983,e62942ee-f31d-4095-937e-7b9072a20a45,
1836,uf,,2210,eunectes,murinus,uf,mammals,2210,peromyscus,polionotus,uf,herp,2210,eunectes,murinus,1,afb372ac-2d37-4163-96a2-3f337a060c38,106ddbc6-3293-4f3e-85f9-bf43c104269c,
5195,uf,,19420,gomphotherium,gomphotherium,uf,mammals,19420,podomys,floridanus,uf,uf,19420,gomphotherium,,1,9209fdd1-8ac2-4c1e-8f92-1b9b06f87566,5c6e30d4-3faf-45aa-909d-b78831aa85da,
4887,uf,,30003,titanis,walleri,uf,mammals,30003,rhinolophus,arcuatus,uf,uf,30003,titanis,walleri,1,11e30a41-a865-4772-b2db-ded280968eff,ce3d365b-d1ca-4724-b898-1ea3a0fc0c29,
5339,uf,,4109,titanis,walleri,uf,mammals,4109,tamiasciurus,hudsonicus,uf,uf,4109,titanis,walleri,1,3aa8dc13-8474-4345-86a0-6cf9b1067204,8f330f29-054d-4d9a-8115-7dff7fcb6666,
4386,usnm,,365714,otolemur,crassicaudatus,usnm,paleobiology,pal365714,adjidaumo,sp,usnm,mammals,365714,otolemur,crassicaudatus,1,55c16e5e-aa74-4eab-827d-0bbc354686c5,ba7f9bab-2c81-45a7-84b5-4a58d285261e,
4375,usnm,,291732,nycticebus,coucang,usnm,paleobiology,pal291732,aluterus,sp,usnm,mammals,291732,nycticebus,coucang,1,5dc49a93-4b42-4525-a836-2547753266ae,bd7aff99-2b88-4ff6-8644-d867250fc52b,
3871,usnm,,291057,ateles,geoffroyi,usnm,paleobiology,pal291057,anomoeodus,sp,usnm,mammals,291057,ateles,geoffroyi,1,761fca55-8313-48ab-81c7-576f2a900ea8,057f0330-8481-4f23-b7a4-0c5b4d11cbe9,
266,usnm,,461384,cebus,apella,usnm,paleobiology,pal461384,anorthopygus,texanus,usnm,mammals,461384,cebus,apella,1,4daaeeef-b707-4366-b5e8-afa48250b35f,cae17c95-295c-4a0f-85aa-617ef7bf197c,
3881,usnm,,336202,ateles,geoffroyi,usnm,paleobiology,pal336202,antiacodon,pygmaeus,usnm,mammals,336202,ateles,geoffroyi,1,7854b7d0-575c-40a0-ae77-68e75fb72c7d,eea62cd7-ce47-40f9-9f27-3c9a3292f694,
4754,usnm,,144662,cynocephalus,volans,usnm,paleobiology,pal144662,aphelaspis,lata,usnm,mammals,144662,cynocephalus,volans,1,ea0d38c4-b7f6-42cf-9dd2-d244e3e82e14,23259bcb-5043-434f-94fc-db9e315f0d90,
2075,usnm,,320689,tupaia,belangeri,usnm,paleobiology,pal320689,apocynophyllum,texensis,usnm,mammals,320689,tupaia,belangeri,1,e331aa08-370e-4cb1-9667-48ea233cac34,a9fa6f4a-5847-4f0e-9e1a-4429a2386137,
308,usnm,,396265,saimiri,boliviensis,usnm,paleobiology,pal396265,apteribis,sp,usnm,mammals,396265,saimiri,boliviensis,1,7eae8f7e-da5c-45fb-9cdd-cd9002fe4c50,1e05719a-66f5-4ce5-a997-98485111abdf,
4002,usnm,,396499,aotus,lemurinus,usnm,paleobiology,pal396499,apteribis,sp,usnm,mammals,396499,aotus,lemurinus,1,5a7e940c-0884-49b0-8ac6-755bffc53657,fb090ef4-4d90-49a5-949b-b0842b2105ac,
4003,usnm,,396504,aotus,lemurinus,usnm,paleobiology,pal396504,apteribis,sp,usnm,mammals,396504,aotus,lemurinus,1,d083cfea-b959-40ae-a574-c38db685efa9,079afee2-d916-49ae-b7f4-b1491249dcce,
4004,usnm,,396505,aotus,lemurinus,usnm,paleobiology,pal396505,apteribis,sp,usnm,mammals,396505,aotus,lemurinus,1,3b7b476b-efcb-451d-9a5d-98901fa443f9,9808e5b7-b956-46dd-bdd3-b082f2e221a4,
