uuid,name
02153e3c-902f-4d8d-8c7a-11c38b99ec0c,CSIRO Ichthyology provider for OZCAM
598cda6a-75a8-4ba3-b169-3fa4a285ed86,KUBI Ichthyology Collection
271a9ce9-c6d3-4b63-a722-cb0adc48863f,"Museum of Comparative Zoology, Harvard University"
6c6f34ed-58a4-4ba2-b9c7-34524f79a349,NMNH Paleobiology Specimen Records
348f4784-4786-45be-8d0f-85f2b189eba8,UMMZ Herpetology Collection
6d9d4f55-4cb4-4c8f-acc7-b465eb5f703c,LSUMZ (LSU MNS) Fishes Collection
cb790bee-26da-40ed-94e0-d179618f9bd4,AMNH Mammal Collections
2d94a3ac-f505-49ec-98e7-3b7dc48344dd,UMMZ Mammal Collection
a7020dbf-35fc-46e8-a441-c0a6b957193c,Field Museum of Natural History (Zoology) Fish Collection
5ab348ab-439a-4697-925c-d6abe0c09b92,University of California Museum of Paleontology
4fecde59-9f59-44eb-ab6f-4a50b4ed85cf,CUMV Fish Collection (Arctos)
3c9420c9-c4a8-47dc-88b7-b5638ca5e716,Natural History Museum (London) Collection Specimens
c38b867b-05f3-4733-802e-d8d2d3324f84,UF FLMNH Ichthyology
51b958bb-9d5f-48d7-9a97-e372c0c747c3,CAS Herpetology (HERP)
bc13ff8e-6f31-4f3d-b47a-38e3ce8a2194,"Tulane University Biodiversity Research Institute, Royal D. Suttkus Fish Collections"
045aa661-f985-4203-80ff-98daafdfe377,CM Herps Collection
9e046dad-2b23-4f95-8eaf-c0346de2556e,Field Museum of Natural History (Zoology) Mammal Collection
a6eee223-cf3b-4079-8bb2-b77dad8cae9d,NMNH Extant Specimen Records
6e6bec70-a148-49c8-9f97-e64e2dfae5b7,ISM Ornithology Collection
45544aa4-8762-4bf0-bfc6-890d08dc6ead,Illinois Natural History Survey - Fish Collection
3872f27e-cf4e-40bd-b91b-ba7b723a86e5,BYU Herpetology Collection
4a1f1862-cb5f-42c5-b3c8-bfc51b1fd140,Oregon State Ichthyology Collection
b4bcc255-4acf-4966-b9b3-af9dd4e458d1,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection
fcbcb214-cd62-4453-af56-b4b49161a261,MVZ Mammal Collection (Arctos)
137ed4cd-5172-45a5-acdb-8e1de9a64e32,"Invertebrate Paleontology Division, Yale Peabody Museum"
c9bff84f-8de4-43e6-b195-f515f187a68a,The reptiles and amphibians collection (RA) of the Musum national d'Histoire Naturelle (MNHN - Paris)
2ee6534e-46ab-4233-98c4-d13c4262ce2e,NCSM Mammals Collection
79dfdec6-3e24-489c-a7ce-85dcc52bc3f9,Biodiversity Research and Teaching Collections - TCWC Vertebrates
b3976394-a174-4ceb-8d64-3a435d66bde6,MVZ Herp Collection (Arctos)
e7bc6545-f14f-4fc4-9902-1aa38040f184,UAM Fish Collection (Arctos)
d56c787a-7da2-438b-81c5-554442f97259,SIO Marine Vertebrate Collection
7ce9b7d0-a8da-4528-bbe3-2c4f407f9cea,AMNH Herpetology Collections
b3d38693-5f9b-484d-aca3-6cefcc5b08e0,UWFC Ichthyology Collection
1bb2a80e-271f-46a8-bbfc-ba56d3e6292a,NCSM Herpetology Collection
5f2b5c3a-1b93-4db4-b6b4-7468f03abee1,Amphibian Specimens
11d3ad3b-38de-4709-8544-ec3c26d96607,ANSP Ichthyology
81d00e23-92aa-45d7-b289-5cf045ddfbf4,bellfishes
f9a33279-d6ba-41c7-a511-ef6adfcb6e20,University of Florida Vertebrate Paleontology
5aef068f-efd3-4851-a623-f542e97350cd,Australian Museum provider for OZCAM
c1fa848f-ec37-4cdb-930b-c38de2ae63e6,Western Australian Museum provider for OZCAM
2d853a6d-50ec-4931-8e91-48fc2491fdee,LACM Vertebrate Collection
c4bb08d4-c310-4879-abee-1b3986e8e0ca,KUBI Herpetology Collection
48e1b8c1-91aa-4b87-8ca0-de1f81232eaf,UF Florida Museum of Natural History Mammals
bd7cfd55-bf55-46fc-878d-e6e11f574ccd,University of Florida Herpetology
0220907a-0463-4ae0-8a0b-77f5e80fff40,"Vertebrate Paleontology Division, Yale Peabody Museum"
cab6d230-499b-4a21-9cc2-2750e14e92f8,AUM Fish Collection
387ae47b-8641-4e3c-ae66-d1e20d93cf32,Ichthyology Collection - Royal Ontario Museum
66427724-af1d-43f8-bc00-cb744e55ac2c,Field Museum of Natural History (Zoology) Bird Collection
26f7cbde-fbcb-4500-80a9-a99daa0ead9d,CAS Botany (BOT)
beb74dc2-22ea-49e4-b1e3-bedb8e06e8f2,CAS Ichthyology (ICH)
d598446c-2b25-4d5d-a983-99be53001203,Museums Victoria provider for OZCAM
