providerManagedID,derivedFromProviderManagedID,IDOfContainingCollection,derivedFromIDOfContainingCollection,dcterms:identifier,doi,media_group_title,locationCreated,captureDevice,dc:creator,ms:scanningTechnician,fundingAttribution,specimen_id,associatedSpecimenReference,coreid,specimen_institution_code,specimen_collection_code,specimen_catalog_number,specimen_genus,specimen_external_genus,specimen_species,media_group_views,specimen_views,total_downloads,research_downloads,non_research_downloads,dl_intended_use_School,dl_intended_use_School_K_6,dl_intended_use_School_7_12,dl_intended_use_School_College_Post_Secondary,dl_intended_use_School_Graduate_school,dl_intended_use_Education,dl_intended_use_Education_K_6,dl_intended_use_Education_7_12,dl_intended_use_Education_College_Post_Secondary,dl_intended_use_Educaton_general,dl_intended_use_Education_museums_public_outreach,dl_intended_use_Personal_interest,dl_intended_use_Research,dl_intended_use_Commercial,dl_intended_use_Art,dl_intended_use_other,dl_intended_use_3d_print,total_download_users,u_affiliation_Student,u_affiliation_Student:_K-6,u_affiliation_Student:7-12,u_affiliation_Student:_College/Post-Secondary,u_affiliation_Student:_Graduate,u_affiliation_Faculty,u_affiliation_Faculty:_K-6,u_affiliation_Faculty:7-12,u_affiliation_Faculty_College/Post-Secondary,u_affiliation_Staff:_College/Post-Secondary,u_affiliation_General_Educator,u_affiliation_Museum,u_affiliation_Museum_Curator,u_affiliation_Museum_Staff,u_affiliation_Librarian,u_affiliation_IT,u_affiliation_Private_Individual,u_affiliation_Researcher,u_affiliation_Private_Industry,u_affiliation_Artist,u_affiliation_Government,u_affiliation_other
30622,,16466,, ark:/87602/m4/M30622,,Elops saurus - images/ slice data/ log file,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,Adam Summers <fishguy@uw.edu>,,NSF Award 1701420; Digitization TCN: Collaborative Research: oVert: Open Exploration of Vertebrate Diversity in 3D,7115,,,tcwc,ichthyology ,15173.02,Elops,Elops,saurus,51,80,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31888,,17120,, ark:/87602/m4/M31888,,Barbus everetti - images/ slice data/ log file,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,Adam Summers <fishguy@uw.edu>,,NSF TCN oVert,7610,89896977-3741-47fd-a9b9-5d8502cf3d6d,urn:lod.ansp.org/catalog:ansp:fish:ansp100188_380d5b56-62d6-4bdc-94f1-71188f34d91d_2015-5-14,ansp,fish,100188,Barbus,Barbus,everetti,69,109,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,,1,,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,
32136,,17209,, ark:/87602/m4/M32136,,Canthigaster figueiredoi - images/ slice data/ log data,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,Adam Summers <fishguy@uw.edu>,,NSF TCN oVert,7705,76d674ad-422c-49a8-b826-b3cdb86ffcbe,urn:lod.ansp.org/catalog:ansp:fish:ansp100132_aefc2ed8-34d7-43ed-980a-ae7680a72521_2015-5-14,ansp,fish,100132,Canthigaster,Canthigaster,figueiredoi,94,151,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,0,
33050,,17530,, ark:/87602/m4/M33050,,Skeleton STL,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Ed Stanley,"oVert Thematic Collections Network (TCN), NSF DBI-1701714",8002,a27762de-75f3-49a3-95fa-d3f9991adfe4,c4a167e8-b069-11e3-8cfe-90b11c41863e,ku,kuh,320174,Occidozyga,Occidozyga,laevis,67,56,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33051,,17530,, ark:/87602/m4/M33051,,Skull STL,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Ed Stanley,"oVert Thematic Collections Network (TCN), NSF DBI-1701714",8002,a27762de-75f3-49a3-95fa-d3f9991adfe4,c4a167e8-b069-11e3-8cfe-90b11c41863e,ku,kuh,320174,Occidozyga,Occidozyga,laevis,67,56,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33052,,17530,, ark:/87602/m4/M33052,,Tiff-stack,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Ed Stanley,"oVert Thematic Collections Network (TCN), NSF DBI-1701714",8002,a27762de-75f3-49a3-95fa-d3f9991adfe4,c4a167e8-b069-11e3-8cfe-90b11c41863e,ku,kuh,320174,Occidozyga,Occidozyga,laevis,67,56,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33056,,17533,, ark:/87602/m4/M33056,,Skeleton STL,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Ed Stanley,"oVert Thematic Collections Network (TCN), NSF DBI-1701714",8003,9f2bbc2e-058d-463e-b2c0-0287111c53a6,http://n2t.net/ark:/65665/34ea124c5-eb20-432c-aa55-21310a5445dd,usnm,amphibians & reptiles,239363,Phyzelaphryne,Phyzelaphryne,miriamae,50,43,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33057,,17533,, ark:/87602/m4/M33057,,Skull STL,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Ed Stanley,"oVert Thematic Collections Network (TCN), NSF DBI-1701714",8003,9f2bbc2e-058d-463e-b2c0-0287111c53a6,http://n2t.net/ark:/65665/34ea124c5-eb20-432c-aa55-21310a5445dd,usnm,amphibians & reptiles,239363,Phyzelaphryne,Phyzelaphryne,miriamae,50,43,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33058,,17533,, ark:/87602/m4/M33058,,Tiff-stack,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Ed Stanley,"oVert Thematic Collections Network (TCN), NSF DBI-1701714",8003,9f2bbc2e-058d-463e-b2c0-0287111c53a6,http://n2t.net/ark:/65665/34ea124c5-eb20-432c-aa55-21310a5445dd,usnm,amphibians & reptiles,239363,Phyzelaphryne,Phyzelaphryne,miriamae,50,43,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33063,,17537,, ark:/87602/m4/M33063,,Skeleton STL,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Ed Stanley,"oVert Thematic Collections Network (TCN), NSF DBI-1701714",8006,28469f52-e30a-46b5-98d0-f7f354fd754f,urn:catalog:cas:herp:156289,cas,herp,156289,Hadromophryne,Hadromophryne,natalensis,14,16,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
