media_file_id,media_file_derived_from,num_media_files_derived_from_this,media_group_id,media_group_derived_from,num_media_groups_derived_from_this,specimen_id,specimen_institution_code,specimen_collection_code,specimen_catalog_number,specimen_genus,specimen_species,total_downloads,dl_intended_use_School,dl_intended_use_School_K_6,dl_intended_use_School_7_12,dl_intended_use_School_College_Post_Secondary,dl_intended_use_School_Graduate_school,dl_intended_use_Education,dl_intended_use_Education_K_6,dl_intended_use_Education_7_12,dl_intended_use_Education_College_Post_Secondary,dl_intended_use_Educaton_general,dl_intended_use_Education_museums_public_outreach,dl_intended_use_Personal_interest,dl_intended_use_Research,dl_intended_use_Commercial,dl_intended_use_Art,dl_intended_use_other,dl_intended_use_3d_print,total_download_users,u_affiliation_Student,u_affiliation_Student:_K-6,u_affiliation_Student:7-12,u_affiliation_Student:_College/Post-Secondary,u_affiliation_Student:_Graduate,u_affiliation_Faculty,u_affiliation_Faculty:_K-6,u_affiliation_Faculty:7-12,u_affiliation_Faculty_College/Post-Secondary,u_affiliation_Staff:_College/Post-Secondary,u_affiliation_General_Educator,u_affiliation_Museum,u_affiliation_Museum_Curator,u_affiliation_Museum_Staff,u_affiliation_Librarian,u_affiliation_IT,u_affiliation_Private_Individual,u_affiliation_Researcher,u_affiliation_Private_Industry,u_affiliation_Artist,u_affiliation_Government,u_affiliation_other
,,,13313,,0,5268,UF,H,40764,Hypodactylus,araiodactylus,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
23013,,0,13313,,0,5268,UF,H,40764,Hypodactylus,araiodactylus,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
23014,,0,13313,,0,5268,UF,H,40764,Hypodactylus,araiodactylus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26269,,0,13313,,0,5268,UF,H,40764,Hypodactylus,araiodactylus,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,9218,,0,3742,UF,H,30579,Centrolene,buckleyi,34,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,
12442,,0,9218,,0,3742,UF,H,30579,Centrolene,buckleyi,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,
12443,,0,9218,,0,3742,UF,H,30579,Centrolene,buckleyi,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
12445,,0,9218,,0,3742,UF,H,30579,Centrolene,buckleyi,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,
,,,8707,,0,3392,UF,H,100788,Spea,multiplicata,42,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,0,6,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,
11082,,0,8707,,0,3392,UF,H,100788,Spea,multiplicata,35,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,
11079,,0,8707,,0,3392,UF,H,100788,Spea,multiplicata,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,0,5,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,
,,,20998,,0,10112,uf,herp,63892,Tylototriton,verrucosus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
39891,,0,20998,,0,10112,uf,herp,63892,Tylototriton,verrucosus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
,,,18954,,0,8827,uf,herp,117384,Bronchocela,cristatella,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,For testing our own custom designed tridimensional display,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
