Filename,Compressed size,Uncompressed size
/nfs/images/media/morphosource/images/7/77559_ms_media_media_747_archive_.zip,130601434,419785
/nfs/images/media/morphosource/images/7/60339_ms_media_media_745_archive_.zip,107599825,377912
/nfs/images/media/morphosource/images/7/70886_ms_media_media_717_archive_.zip,69627997,252200
/nfs/images/media/morphosource/images/7/9040_ms_media_media_721_archive_.zip,845487,294087
/nfs/images/media/morphosource/images/7/23476_ms_media_media_705_archive_.zip,1489905,195288
/nfs/images/media/morphosource/images/7/63452_ms_media_media_737_archive_.zip,989563,303595
/nfs/images/media/morphosource/images/7/39136_ms_media_media_729_archive_.zip,789571,358571
/nfs/images/media/morphosource/images/7/65775_ms_media_media_733_archive_.zip,742476,375399
/nfs/images/media/morphosource/images/7/79941_ms_media_media_701_archive_.zip,1889753,281325
/nfs/images/media/morphosource/images/7/23230_ms_media_media_725_archive_.zip,859117,324999
/nfs/images/media/morphosource/images/7/36056_ms_media_media_713_archive_.zip,54705647,196776
/nfs/images/media/morphosource/images/7/80976_ms_media_media_707_archive_.zip,1857227,256728
/nfs/images/media/morphosource/images/7/29223_ms_media_media_703_archive_.zip,1817413,267186
/nfs/images/media/morphosource/images/7/87188_ms_media_media_709_archive_.zip,1554672,208653
/nfs/images/media/morphosource/images/7/51062_ms_media_media_741_archive_.zip,109221801,388352
/nfs/images/media/morphosource/images/7/7/90635_ms_media_files_media_7777_archive_.zip,537658721,595682
/nfs/images/media/morphosource/images/7/7/50103_ms_media_files_media_7786_archive_.zip,176520569,205186
/nfs/images/media/morphosource/images/7/7/652_ms_media_files_media_7771_archive_.zip,217007357,224530
/nfs/images/media/morphosource/images/7/7/23105_ms_media_files_media_7701_archive_.zip,58311257,184544
/nfs/images/media/morphosource/images/7/7/19914_ms_media_files_media_7795_archive_.zip,127572375,483778
/nfs/images/media/morphosource/images/7/7/84459_ms_media_files_media_7768_archive_.zip,570354645,662754
/nfs/images/media/morphosource/images/7/7/62958_ms_media_files_media_7710_archive_.zip,176231185,413872
/nfs/images/media/morphosource/images/7/7/353_ms_media_files_media_7707_archive_.zip,151482692,413872
/nfs/images/media/morphosource/images/7/7/99409_ms_media_files_media_7704_archive_.zip,85147837,184544
/nfs/images/media/morphosource/images/7/7/31827_ms_media_files_media_7774_archive_.zip,219713159,253690
